time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
9.293413,-1.0772,-0.347,-0.7925,1.382
9.327113,-1.1945,0.0183,-2.5618,2.827
9.365853,-0.1992,-0.6386,-1.4274,1.576
9.367096,-0.1992,-0.6386,-1.4274,1.576
9.374642,-0.232,-0.7936,-0.9656,1.271
9.395588,-0.2737,-1.0566,-0.1839,1.107
9.429774,-0.7627,-0.9523,0.7768,1.446
9.466983,-0.3086,-0.8395,-0.0723,0.897
9.467913,-0.3086,-0.8395,-0.0723,0.897
9.47791,-0.1274,-0.6458,-0.5885,0.883
9.499066,0.0759,-0.2394,-1.3774,1.4
9.539132,0.4972,-0.1157,-1.9486,2.014
9.540269,0.4956,-0.1317,-1.9604,2.026
9.572009,0.1409,0.021,-1.8234,1.829
9.582726,0.0978,-0.0017,-1.7328,1.736
9.599681,0.0244,-0.1285,-1.5642,1.57
9.631114,-0.0908,0.1323,-0.7041,0.722
9.671924,0.5336,0.5387,0.8802,1.162
9.673072,0.5741,0.5445,0.9939,1.27
9.682734,0.5584,0.594,1.1778,1.432
9.705645,0.4269,0.3876,1.1696,1.304
9.731969,0.4703,-0.373,1.7093,1.812
9.771049,-0.3522,-0.1389,3.5578,3.578
9.772168,-0.487,-0.0178,3.6347,3.667
9.783577,-0.487,-0.0178,3.6347,3.667
9.804698,-0.2979,-0.6921,2.7412,2.843
9.832024,0.517,-0.695,2.5494,2.693
9.875915,0.4996,0.0624,0.3909,0.637
9.880384,0.5101,0.0393,-0.029,0.512
9.89815,0.3315,0.0683,-1.3917,1.432
9.935294,0.257,0.3579,-2.5238,2.562
9.971318,0.8063,0.3145,-1.7376,1.941
9.980863,1.0596,0.0817,-1.3575,1.724
9.999817,1.3533,-0.5407,-0.7226,1.627
10.017448,0.9628,-0.6779,-0.1705,1.19
10.052798,0.1189,-0.6171,0.6174,0.881
10.084775,-0.0581,-0.5179,-0.063,0.525
10.085576,-0.0581,-0.5179,-0.063,0.525
