time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
11.627398,-0.0034,0.0048,0.0199,0.021
11.643264,0.0014,0.0089,0.0252,0.027
11.663185,-0.0082,-0.0016,0.0344,0.035
11.683364,0.0109,0.0116,0.0149,0.022
11.70521,0.0057,0.0003,-0.0183,0.019
11.726774,0.0053,-0.001,-0.0262,0.027
11.745104,-0.0044,-0.0025,0.0232,0.024
11.765347,0.005,0.0056,0.0238,0.025
11.785621,0.0003,-0.0058,0.0231,0.024
11.805157,0.0006,-0.0211,0.0031,0.021
11.826093,0.0192,0.0015,-0.025,0.032
11.84731,0.0233,0.0229,-0.0138,0.035
11.866017,0.0081,0.0153,-0.0023,0.017
11.88738,-0.0207,-0.0063,0.0082,0.023
11.907592,-0.0248,-0.0221,0.0033,0.033
11.927588,0.014,-0.0233,0.0126,0.03
11.946843,-0.0053,-0.0294,-0.0014,0.03
11.968356,-0.0431,0.0163,-0.0193,0.05
11.987661,-0.0879,0.0324,-0.005,0.094
12.008707,-0.0044,-0.0269,-0.0021,0.027
12.03181,0.0426,-0.0683,0.0527,0.096
12.049142,0.0652,-0.0241,0.0451,0.083
12.06924,0.1377,-0.0057,-0.0454,0.145
12.089518,-0.0268,-0.0207,-0.0987,0.104
12.110027,-0.1334,-0.0204,-0.0281,0.138
12.131665,-0.0531,0.0034,0.0392,0.066
12.150864,0.019,0.0074,0.0008,0.02
12.171067,0.0605,0.0203,0.0287,0.07
12.19185,0.0299,0.0187,0.0365,0.051
12.212213,-0.0134,0.022,0.0024,0.026
12.23133,-0.0644,0.0299,-0.0067,0.071
12.251538,-0.0717,0.0141,0.0077,0.073
12.272097,-0.0083,-0.0104,0.0399,0.042
12.293597,0.0203,-0.029,0.0194,0.04
12.312478,0.0102,-0.0141,0.0087,0.019
12.333599,-0.0042,0.0005,-0.0066,0.008
12.35438,-0.0228,0.0096,-0.0211,0.033
12.374045,-0.0033,0.0138,-0.0112,0.018
12.394124,-0.0031,-0.0057,-0.006,0.009
12.415378,-0.0169,-0.0008,0.0174,0.024
12.439855,-0.0111,0.0276,-0.0038,0.03
12.456067,0.013,0.0223,-0.0189,0.032
12.475853,0.0034,0.0075,-0.0096,0.013
12.496036,-0.0014,0.0216,0.009,0.023
12.516404,0.0082,0.0303,-0.015,0.035
12.539525,0.013,0.0287,-0.0099,0.033
12.557331,0.0174,0.0137,-0.0098,0.024
12.577509,0.0073,0.0084,0.0046,0.012
12.598168,-0.0023,0.003,-0.0051,0.006
12.618667,-0.016,-0.002,0.0045,0.017
12.639412,0.0129,-0.002,0.0188,0.023
12.659095,0.0265,-0.002,0.009,0.028
12.67945,0.0206,-0.0208,0.0046,0.03
12.699998,0.0104,-0.0059,0.0289,0.031
12.71983,-0.0091,-0.0096,0.0102,0.017
12.741164,-0.0091,-0.0035,0.0064,0.012
12.760709,-0.0046,0.0121,0.0306,0.033
12.781012,-0.0279,0.0364,0.007,0.046
12.800948,-0.0221,0.0409,0.0111,0.048
12.830925,0.0313,0.0068,0.0094,0.033
12.846193,0.0259,-0.017,0.0082,0.032
12.862057,0.0112,-0.0263,-0.0111,0.031
12.881818,-0.0642,0.0261,0.032,0.076
12.902392,0.0088,0.0625,-0.0358,0.073
12.926257,-0.015,-0.0337,-0.0176,0.041
12.942233,-0.0285,-0.075,0.0341,0.087
12.962926,0.062,-0.0437,0.0545,0.093
12.983749,0.1019,-0.0051,-0.0462,0.112
13.004147,-0.019,-0.0243,-0.0857,0.091
13.03939,-0.0545,0.0382,0.0175,0.069
13.056446,-0.0295,0.0515,-0.0065,0.06
13.064496,0.0137,0.0317,-0.0165,0.038
13.084053,0.0416,0.0124,-0.0075,0.044
13.105546,0.0492,0.0121,0.0345,0.061
13.136295,-0.0375,0.0154,-0.0228,0.046
13.153254,-0.0557,0.0152,-0.0217,0.062
13.165552,-0.0402,-0.0082,0.0025,0.041
13.186519,-0.0103,-0.0449,-0.0118,0.048
13.205873,0.0371,-0.0194,0.0072,0.042
13.236409,0.0159,-0.0317,0.0119,0.037
13.252869,-0.0034,-0.0118,0.0024,0.013
13.26727,-0.0222,-0.0209,-0.0212,0.037
13.287891,-0.0117,-0.0336,-0.0257,0.044
13.308367,-0.0021,-0.0079,-0.011,0.014
13.335469,0.0351,0.0173,-0.001,0.039
13.349974,0.0293,0.0316,0.0136,0.045
13.369041,0.0281,-0.0014,0.0143,0.032
13.388345,-0.006,-0.0192,0.0241,0.031
13.40871,-0.0293,-0.0085,0.0199,0.036
13.433604,0.0001,0.0023,-0.0174,0.018
13.44941,0.0046,0.0123,-0.0212,0.025
13.470054,0.0136,0.0221,-0.0149,0.03
13.489638,0.0129,0.0173,0.0236,0.032
13.510106,-0.0063,-0.0113,0.0141,0.019
13.534428,0.0267,-0.0013,-0.0189,0.033
13.550736,0.026,-0.0007,-0.0225,0.034
13.571092,-0.0127,0.018,-0.0106,0.024
13.591338,0.0014,0.008,0.0189,0.021
13.611388,0.0104,0.0029,0.0151,0.019
13.63404,-0.0134,-0.0016,0.0064,0.015
13.653002,-0.0131,-0.0059,-0.0022,0.015
13.673389,0.0012,0.0038,-0.0057,0.007
13.69355,0.0151,0.0183,0.0049,0.024
13.713843,0.0282,0.0178,0.025,0.042
13.733089,-0.0009,0.008,0.0314,0.032
13.754334,-0.0527,0.0351,0.0455,0.078
13.774283,-0.0321,0.0102,0.0065,0.034
13.795061,0.0019,-0.0318,0.0014,0.032
13.81485,-0.0216,-0.0483,0.0059,0.053
13.835804,0.0682,-0.0179,0.0242,0.075
13.855852,0.0369,-0.0362,-0.0177,0.055
13.87586,-0.0581,-0.0628,-0.0023,0.086
13.895993,-0.037,-0.0225,-0.0116,0.045
13.916272,-0.0125,0.0399,-0.0435,0.06
13.940874,0.0394,0.039,0.0065,0.056
13.95775,0.0331,-0.0133,0.044,0.057
13.978219,0.0179,-0.0078,0.0287,0.035
13.997778,-0.0064,0.0205,-0.014,0.026
14.017992,-0.0439,0.0294,-0.0126,0.054
14.038885,-0.033,0.0012,0.0166,0.037
14.058794,-0.0039,-0.0352,0.0162,0.039
14.079726,0.0055,-0.0282,0.0112,0.031
14.098779,-0.0088,-0.0028,-0.0084,0.012
14.119991,0.0056,0.0074,-0.0037,0.01
14.141284,0.0148,0.0123,-0.022,0.029
14.160205,0.0045,0.0076,-0.0161,0.018
14.18047,-0.0006,-0.0061,0.0273,0.028
14.201422,-0.0053,0.004,0.0174,0.019
14.222318,-0.0049,-0.0003,0.0068,0.008
14.241804,-0.0047,0.0005,-0.0128,0.014
14.26286,-0.0093,0.0014,-0.0032,0.01
14.28332,-0.0185,0.0117,0.0117,0.025
14.302679,-0.0085,0.0168,0.0066,0.02
14.323613,0.0107,0.0127,0.0055,0.018
14.347708,0.0152,-0.0002,-0.0105,0.019
14.364174,0.0102,-0.0043,-0.0059,0.013
14.383924,0.0052,-0.0033,-0.02,0.021
14.404135,0.0003,0.0021,0.0038,0.004
14.425492,0.0142,0.0116,-0.0012,0.018
