time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
8.195032,0.1686,0.0885,-0.1459,0.24
8.215156,0.1119,0.0258,-0.1878,0.22
8.236053,0.0853,-0.0429,-0.057,0.111
8.257166,-0.009,-0.0891,0.0191,0.092
8.277486,-0.0051,-0.1071,-0.0572,0.122
8.312265,0.0398,0.0002,-0.1015,0.109
8.342543,0.03,-0.0326,0.0943,0.104
8.343093,0.03,-0.0326,0.0943,0.104
8.359041,-0.0817,-0.0814,0.134,0.177
8.378993,-0.0903,-0.1042,0.1182,0.182
8.411006,0.0074,0.0481,-0.1069,0.117
8.441101,0.0572,0.1297,-0.1215,0.187
8.441659,0.0572,0.1297,-0.1215,0.187
8.460195,-0.0567,0.0026,0.1381,0.149
8.480696,-0.1188,-0.096,0.1934,0.246
8.511347,-0.0553,0.0171,0.083,0.101
8.542023,-0.0143,0.0184,-0.0331,0.04
8.542599,-0.0143,0.0184,-0.0331,0.04
8.563352,0.0406,0.0338,-0.0247,0.058
8.583229,0.0805,0.0641,-0.0824,0.132
8.611767,0.066,0.0074,0.0521,0.084
8.640089,0.0011,-0.0889,0.0651,0.11
8.648869,0.0192,-0.1,0.0641,0.12
8.664967,0.0149,-0.0685,-0.0127,0.071
8.686908,0.0495,0.0372,-0.2237,0.232
8.71091,0.1004,0.1288,-0.2347,0.286
8.740311,-0.0174,0.0137,-0.1355,0.137
8.749402,-0.0638,-0.0124,-0.0838,0.106
8.767921,-0.0794,-0.055,0.0076,0.097
8.788946,-0.0653,-0.1144,0.0992,0.165
8.811618,-0.0156,-0.0585,0.073,0.095
8.838841,0.0542,-0.0092,0.1909,0.199
8.849529,0.0425,-0.0055,0.1058,0.114
8.870161,0.0429,0.0141,-0.0004,0.045
8.889902,0.0396,0.0402,0.0282,0.063
8.91182,0.0377,0.0431,0.0861,0.103
8.938966,0.1115,0.0748,0.0822,0.157
8.950193,0.097,0.0847,0.0589,0.142
8.971639,0.0357,0.0588,-0.06,0.091
8.992164,0.0409,0.0552,-0.0737,0.101
9.011321,0.0239,0.0746,0.0224,0.081
9.041063,-0.0967,-0.059,-0.0061,0.113
9.052999,-0.0758,-0.0335,-0.0649,0.105
9.074043,-0.041,0.0689,-0.0433,0.091
9.095224,-0.0371,0.0159,-0.1191,0.126
9.120152,-0.1129,-0.052,0.0727,0.144
9.169551,-0.0965,-0.0684,0.0742,0.14
9.170367,-0.087,-0.0485,0.0808,0.128
9.175927,-0.0607,-0.0335,0.0659,0.096
9.197065,-0.0299,-0.0152,-0.0534,0.063
9.219905,0.0026,0.0093,-0.0066,0.012
9.243812,0.0598,0.0404,-0.016,0.074
9.258368,0.0547,0.059,-0.058,0.099
9.278768,0.0716,0.0525,-0.1099,0.141
9.298826,0.0869,0.0143,-0.1411,0.166
9.320295,0.0278,-0.0163,-0.0966,0.102
9.3558,0.0415,-0.0036,-0.0638,0.076
9.366493,0.0272,-0.0653,0.0627,0.095
9.381772,-0.0134,-0.0967,0.1314,0.164
9.412038,0.0375,0.0034,-0.0431,0.057
9.438838,0.0137,0.0079,0.0315,0.035
9.449215,-0.0233,-0.0469,0.0451,0.069
9.463433,-0.042,-0.0544,0.1168,0.136
9.48386,-0.0235,-0.0566,0.1271,0.141
9.511317,0.0776,0.0569,0.0403,0.104
9.543325,0.0456,0.0965,-0.0842,0.136
9.550251,0.0676,0.0824,-0.0812,0.134
9.565151,0.0327,0.0621,-0.0839,0.109
9.584996,-0.0388,0.0253,0.0453,0.065
9.61197,-0.1654,-0.0701,0.039,0.184
9.64321,-0.0011,0.0246,-0.0554,0.061
9.65008,0.0193,0.0419,-0.0715,0.085
9.666886,0.0498,0.048,-0.0155,0.071
9.688153,-0.0088,-0.0495,0.0527,0.073
