time,gFx,gFy,gFz,TgF
17.960606,0.0322,0.0289,-0.9875,0.99
17.979748,0.0312,0.0294,-0.987,0.99
18.00543,0.0307,0.0294,-0.985,0.99
18.02218,0.0302,0.0289,-0.9855,0.99
18.039826,0.0322,0.0294,-0.984,0.99
18.0698,0.0322,0.0304,-0.984,0.99
18.087934,0.0317,0.0313,-0.986,0.99
18.104512,0.0317,0.0313,-0.987,0.99
18.122296,0.0332,0.0279,-0.9884,0.99
18.14759,0.0337,0.0309,-0.9899,0.99
18.168833,0.0351,0.0323,-0.9899,0.99
18.188379,0.0386,0.0289,-0.9875,0.99
18.205591,0.0381,0.0284,-0.988,0.99
18.229699,0.0386,0.0299,-0.9884,0.99
18.245676,0.041,0.0294,-0.9865,0.99
18.265629,0.042,0.0274,-0.986,0.99
18.287553,0.0425,0.0294,-0.9821,0.98
18.303748,0.0434,0.0284,-0.988,0.99
18.329165,0.0434,0.0284,-0.9894,0.99
18.345579,0.0425,0.0304,-0.9884,0.99
18.368865,0.0425,0.0284,-0.9875,0.99
18.387149,0.0474,0.0274,-0.9865,0.99
18.411405,0.0503,0.0328,-0.9958,1
18.428518,0.0547,0.0318,-0.9801,0.98
18.445032,0.0586,0.0304,-0.9655,0.97
18.472171,0.0498,0.0279,-0.9801,0.98
18.485745,0.0464,0.0255,-0.9924,0.99
18.51281,0.0459,0.0265,-0.9992,1
18.52772,0.0478,0.0284,-0.9904,0.99
18.558151,0.0537,0.0274,-0.9821,0.98
18.570728,0.0537,0.0279,-0.9787,0.98
18.587236,0.0547,0.0294,-0.9826,0.98
18.611188,0.062,0.0289,-0.9865,0.99
18.628419,0.0606,0.0274,-0.9875,0.99
18.658678,0.0615,0.0269,-0.9806,0.98
18.668108,0.0606,0.0269,-0.9831,0.99
18.693517,0.0576,0.0279,-0.986,0.99
18.711988,0.063,0.0294,-0.985,0.99
18.735273,0.0664,0.0299,-0.9826,0.99
18.756037,0.062,0.0284,-0.9826,0.98
18.775366,0.062,0.0255,-0.9816,0.98
18.79317,0.061,0.0265,-0.9811,0.98
18.810026,0.063,0.026,-0.985,0.99
18.834332,0.0659,0.026,-0.9811,0.98
18.855631,0.0654,0.0255,-0.9787,0.98
18.876636,0.0669,0.026,-0.985,0.99
18.893067,0.0689,0.0279,-0.9816,0.98
18.918669,0.0689,0.0274,-0.9806,0.98
18.935517,0.0674,0.0269,-0.9806,0.98
18.963582,0.0635,0.0265,-0.9816,0.98
18.979364,0.064,0.0274,-0.9836,0.99
18.9924,0.0635,0.0274,-0.985,0.99
19.016524,0.062,0.0269,-0.987,0.99
19.0333,0.0615,0.0284,-0.985,0.99
19.062591,0.0615,0.0279,-0.984,0.99
19.073913,0.0606,0.0274,-0.984,0.99
19.10078,0.0591,0.026,-0.9845,0.99
19.115724,0.0615,0.0265,-0.988,0.99
19.140741,0.0581,0.0265,-0.986,0.99
19.16323,0.0586,0.0265,-0.9826,0.98
19.182418,0.0586,0.0255,-0.9806,0.98
19.198768,0.0581,0.0265,-0.9836,0.99
19.216221,0.0576,0.0255,-0.986,0.99
19.240971,0.0522,0.0269,-0.9865,0.99
19.262758,0.0518,0.0269,-0.9855,0.99
19.281716,0.0508,0.026,-0.985,0.99
19.298432,0.0547,0.0269,-0.988,0.99
19.323507,0.0547,0.0304,-0.9958,1
19.340694,0.0586,0.0304,-0.9772,0.98
19.36235,0.0576,0.0289,-0.9674,0.97
19.381459,0.0508,0.026,-0.9772,0.98
19.398412,0.0444,0.024,-0.9865,0.99
19.421956,0.0381,0.0269,-1.0007,1
19.440227,0.039,0.0284,-0.9972,1
19.462057,0.0415,0.0274,-0.9899,0.99
19.480889,0.0444,0.0269,-0.9855,0.99
19.498733,0.0459,0.0289,-0.9845,0.99
19.523202,0.0483,0.0284,-0.9836,0.99
19.546897,0.0444,0.0279,-0.9831,0.98
19.560952,0.0425,0.0294,-0.9796,0.98
19.579128,0.041,0.025,-0.9855,0.99
19.604398,0.0395,0.0304,-0.9899,0.99
19.621278,0.04,0.0294,-0.9899,0.99
19.647087,0.042,0.0309,-0.9845,0.99
19.669274,0.039,0.0299,-0.9836,0.98
19.688876,0.0346,0.0289,-0.985,0.99
19.704814,0.0342,0.0265,-0.987,0.99
19.722086,0.0346,0.0289,-0.9884,0.99
19.74694,0.0361,0.0245,-0.9865,0.99
19.771021,0.0366,0.0284,-0.9855,0.99
19.788246,0.0371,0.0299,-0.9865,0.99
19.803448,0.0376,0.0284,-0.9889,0.99
19.829128,0.0346,0.0279,-0.9875,0.99
19.847148,0.0346,0.0279,-0.9865,0.99
19.867297,0.0342,0.0284,-0.9826,0.98
19.887565,0.0327,0.0304,-0.9836,0.98
19.905283,0.0317,0.0309,-0.988,0.99
19.929316,0.0307,0.0313,-0.9855,0.99
19.94625,0.0298,0.0299,-0.987,0.99
19.968523,0.0312,0.0304,-0.988,0.99
19.985462,0.0312,0.0289,-0.987,0.99
20.00474,0.0302,0.0279,-0.9875,0.99
